QID,WD_Titel,BiB_URL,BiB_Titel,LON,LAT
Q110992607,Turnende Knaben,https://bildhauerei-in-berlin.de/bildwerk/turnende-knaben-8076/,Turnende Knaben,13.591674,52.423373
Q110610711,Waage,https://bildhauerei-in-berlin.de/bildwerk/waage-5624/,Waage,13.347225,52.464739
Q110995733,Junger Fuchs,https://bildhauerei-in-berlin.de/bildwerk/fuchs-8342/,Fuchs,13.527708,52.501922
Q110415369,Elemente,https://bildhauerei-in-berlin.de/bildwerk/elemente-7116/,Elemente,13.4383424,52.5255906
Q110589687,International Harvester,https://bildhauerei-in-berlin.de/bildwerk/international-harvester-5631/,International Harvester,13.347364,52.463520
Q110710158,MiXmAL,https://bildhauerei-in-berlin.de/bildwerk/mixmal-5354/,MiXmAL,13.346211,52.463745
Q111397439,Kriegerdenkmal für die französischen Soldaten 1870/71,https://bildhauerei-in-berlin.de/bildwerk/kriegerdenkmal-fuer-die-franzoesischen-soldaten-1870-71-6687/,Kriegerdenkmal für die französischen Soldaten 1870/71,13.407608,52.4803162
Q110622337,Getrennt-Zusammen II,https://bildhauerei-in-berlin.de/bildwerk/getrennt-zusammen-ii-5556/,Getrennt-Zusammen II,13.471884,52.421103
Q111153366,Hochlandstier,https://bildhauerei-in-berlin.de/bildwerk/hochlandstier-4709/,Hochlandstier,13.527842,52.498754
Q110412170,Liebende,https://bildhauerei-in-berlin.de/bildwerk/liebende-7117/,Liebende,13.4383424,52.5255906
