QID,BiB_ID,BiB_URL,title,creator,objectName,material,productionDate,location
Q114079882,5560,https://bildhauerei-in-berlin.de/bildwerk/brunnenanlage-5560/,Brunnenanlage,Unbekannt,Brunnen,Beton|Klinker|Metall,1986,"Hermann-Ehlers-Platz, Westseite"
Q114088876,5561,https://bildhauerei-in-berlin.de/bildwerk/schalenbrunnen-5561/,Schalenbrunnen,"Breuer, Hartmut",Brunnen,Beton|Sandstein|Kupfer,1978,"Schloßstraße, Ecke Schildhornstraße"
Q111008190,5531,https://bildhauerei-in-berlin.de/bildwerk/spielende-baeren-5531/,Spielende Bären,"Horota, Stephan",Brunnen,Sandstein|Brunnentechnik,1986-1987,Helmholtzplatz
Q111008339,5510,https://bildhauerei-in-berlin.de/bildwerk/walrosse-5510/,Walrosse,"Horota, Stephan",Brunnen|Tierfigur,Bronze|Sandstein|Granit|Brunnentechnik,1989-1991,"Falkplatz, östlicher Bereich auf der Wiese"
Q111007154,5495,https://bildhauerei-in-berlin.de/bildwerk/kinder-unterm-regenschirm-5495/,Kinder unterm Regenschirm,"Horota, Stephan",Brunnen|Figurengruppe|Genrefigur,Granit|Bronze,1967-1968,"Danziger Str., Ecke Prenzlauer Allee"
Q107531004,5471,https://bildhauerei-in-berlin.de/bildwerk/bettinas-bank-5471/,Bettinas Bank,"Klein, Michael",Brunnen|Freiplastik,Beton|Bronze,1997-1998,Arnimplatz
Q49003550,5438,https://bildhauerei-in-berlin.de/bildwerk/prometheus-brunnen-5438/,Prometheus-Brunnen,"Hundrieser, Emil",Bauplastik|Brunnenfigur|Brunnen,Sandstein,1902,"Hardenbergstraße 33, Steinplatz, an der Fassade der Universität der Künste"
Q114127679,5363,https://bildhauerei-in-berlin.de/bildwerk/brunnen-5363/,Brunnen,"Witting, Wiegand",Brunnen,,1987-1988,Lutherplatz
Q992755,4802,https://bildhauerei-in-berlin.de/bildwerk/brunnen-der-generationen-4802/,Brunnen der Generationen,"Grzimek, Waldemar",Brunnen|Brunnenfigur,Bronze|Stahl|Beton|Granit| Erstarrungsgesteine,1984-1985,"Wittenbergplatz, Südseite, vor dem KaDeWe"
Q24008213,5361,https://bildhauerei-in-berlin.de/bildwerk/drachenbrunnen-5361/,Drachenbrunnen,"Witting, Wiegand",Brunnen,Granit,1986-1989,Oranienplatz
Q114141568,5362,https://bildhauerei-in-berlin.de/bildwerk/pamukkale-5362/,Pamukkale,"Witting, Wiegand",Brunnen,Kalksandstein,1988,Görlitzer Park
Q23954878,5364,https://bildhauerei-in-berlin.de/bildwerk/loewenkaempfer-5364/,Löwenkämpfer,"Wolff, Albert",Bauplastik|Figurengruppe|Reiterfigur,Bronze,1854-1861,"Lustgarten, vor dem Alten Museum"
Q114156260,5358,https://bildhauerei-in-berlin.de/bildwerk/streitende-knaben-5358/,Streitende Knaben,"Winterfeld, Wilhelm von",Figurengruppe|Brunnen|Brunnenfigur,Bronze|Klinker|Brunnentechnik|Beton,1927-1929,Siedlung Siemensstadt zwischen Rohrdamm und Rapsstraße
Q114169760,5343,https://bildhauerei-in-berlin.de/bildwerk/entenbrunnen-5343/,Entenbrunnen,"Wenke, Karl",Brunnen,Muschelkalk|Muschelkalk|Muschelkalk|Kunststein,1950,"Konzer Platz, nahe der Hofjägerallee"
Q105045203,5341,https://bildhauerei-in-berlin.de/bildwerk/geldzaehlerbrunnen-5341/,Geldzählerbrunnen,"Wenck, Ernst",Brunnen,Muschelkalk|Brunnentechnik,1912,"Pappelplatz, Invalidenstraße"
Q66100221,5318,https://bildhauerei-in-berlin.de/bildwerk/gaenseliesel-brunnen-5318/,Gänseliesel-Brunnen,"Uechtritz, Cuno von",Brunnen|Brunnenfigur,Bronze|Bronze|Beton|Kalkstein|Bronze|Muschelkalk,1910-1988,Nikolsburger Platz
Q28924229,5290,https://bildhauerei-in-berlin.de/bildwerk/markthallenbrunnen-5290/,Markthallenbrunnen,"Thieme, Gerhard",Brunnen,Beton|Kunststein|Mosaik|Kunststein|Bronze,1973,"Rosa-Luxemburg-Straße, Ecke Liebknechtstraße, an der alten Markthalle"
Q1409204,5284,https://bildhauerei-in-berlin.de/bildwerk/fette-henne-5284/,Fette Henne,"Szymanski, Rolf",Brunnen,Granit|Beton|Eisen|Bronze|Brunnentechnik,1984,"Britzer Garten, Buckower Damm, vor dem Eingang"
Q114215496,5279,https://bildhauerei-in-berlin.de/bildwerk/wassertraegerin-5279/,Wasserträgerin,"Szelinski-Singer, Katharina",Brunnen,Kunststein|Kalkstein|Brunnentechnik|Beton,1956-1957,"Buckower Damm, Brunnenanlage Parkfriedhof Neukölln"
Q110008433,6726,https://bildhauerei-in-berlin.de/bildwerk/persphone-6726/,Persphone,"Kruse, Max",Aktdarstellung|Freiplastik,Muschelkalk|Kunststein,1911-1916,"Hüfner Weg 39, Parkfriedhof Neukölln, westlich der Trauerhalle an der Grenze zum Britzer Garten"
